id,property_id,image,caption,is_cover,uploaded_at
1,1,properties/prop1_front.jpg,Front View,True,2025-01-10
2,1,properties/prop1_living.jpg,Living Room,False,2025-01-10
3,1,properties/prop1_garden.jpg,Garden Area,False,2025-01-10
4,2,properties/prop2_front.jpg,Building Entrance,True,2025-01-15
5,2,properties/prop2_lobby.jpg,Lobby Area,False,2025-01-15
6,3,properties/prop3_front.jpg,House Front,True,2025-01-20
7,4,properties/prop4_studio.jpg,Studio Interior,True,2025-02-01
8,4,properties/prop4_bathroom.jpg,Attached Bathroom,False,2025-02-01
9,5,properties/prop5_villa.jpg,Villa Front Gate,True,2025-02-10
10,5,properties/prop5_pool.jpg,Garden View,False,2025-02-10
11,6,properties/prop6_heritage.jpg,Heritage Building,True,2025-02-15
12,7,properties/prop7_shop.jpg,Shop Exterior,True,2025-03-01
