id,room_id,wifi,water_included,electricity_included,gas_included,ac,heater,refrigerator,washing_machine,tv,microwave,kitchen,parking,balcony,garden,storage,laundry,security_guard,cctv,lift,housekeeping,furnished,bed,wardrobe,study_table,sofa
1,1,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False
2,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False
3,3,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
4,4,True,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True
5,5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False
6,6,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True
7,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
10,10,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False
11,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
12,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
13,13,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
14,14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
